,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,te anau,96,NZ,1574189900,91,-45.41,167.72,39.51,6.87
1,pangoa,100,PE,1574189900,39,-12.12,-73.0,92.07,4.52
2,galt,90,CA,1574189644,100,43.36,-80.31,42.01,3.36
3,anadyr,40,RU,1574189901,84,64.73,177.51,5.0,4.47
4,ribeira grande,40,PT,1574189901,63,38.52,-28.7,64.4,16.11
5,tiksi,100,RU,1574189902,89,71.64,128.87,-14.17,5.99
6,mataura,75,NZ,1574189902,91,-46.19,168.86,43.0,8.99
7,punta arenas,40,CL,1574189902,46,-53.16,-70.91,53.6,21.92
8,cape town,20,ZA,1574189848,59,-33.93,18.42,63.0,23.04
9,honiara,20,SB,1574189903,100,-9.43,159.96,71.6,2.24
10,hobart,90,AU,1574189802,71,-42.88,147.33,51.8,10.29
11,hamilton,90,CA,1574189903,100,43.26,-79.87,41.0,3.36
12,barrow,24,AR,1574189764,13,-38.31,-60.23,89.28,7.49
13,nishihara,75,JP,1574189903,40,35.74,139.53,55.99,20.8
14,kapaa,75,US,1574189904,57,22.08,-159.32,80.6,3.24
15,sept-iles,90,CA,1574189904,56,50.2,-66.38,34.0,6.93
16,tabas,90,IR,1574189904,58,33.6,56.92,56.41,2.28
17,galle,71,GN,1574189904,60,10.08,-12.83,79.52,2.13
18,upernavik,100,GL,1574189904,92,72.79,-56.15,19.33,5.19
19,atuona,22,PF,1574189764,76,-9.8,-139.03,79.48,14.94
20,khatanga,100,RU,1574189905,97,71.98,102.47,-2.09,6.44
21,qaanaaq,100,GL,1574189905,91,77.48,-69.36,14.94,7.05
22,adamantina,0,BR,1574189905,28,-21.69,-51.08,95.4,2.01
23,neftcala,80,AZ,1574189905,56,39.37,49.25,56.66,9.53
24,saint-joseph,90,FR,1574189906,93,43.56,6.97,55.99,3.36
25,magadan,4,RU,1574189906,66,59.56,150.8,18.1,16.06
26,albany,90,US,1574189209,86,42.65,-73.75,39.0,4.7
27,jiuquan,100,CN,1574189906,25,39.73,98.49,28.17,4.88
28,saint-augustin,90,CA,1574189906,96,45.63,-73.98,34.0,3.36
29,puerto narino,75,CO,1574189906,100,-3.77,-70.38,75.2,2.44
30,bubaque,4,GW,1574189906,60,11.28,-15.83,84.38,11.41
31,dunedin,100,NZ,1574189906,72,-45.87,170.5,48.99,13.0
32,avarua,14,CK,1574189841,73,-21.21,-159.78,77.0,10.29
33,rikitea,76,PF,1574189821,86,-23.12,-134.97,76.03,16.31
34,dikson,92,RU,1574189907,97,73.51,80.55,8.58,8.08
35,itoman,75,JP,1574189907,72,26.12,127.67,68.0,19.46
36,wahiawa,75,US,1574189645,88,21.5,-158.02,73.4,6.93
37,dicabisagan,100,PH,1574189908,82,17.08,122.42,75.9,2.75
38,egvekinot,31,RU,1574189908,92,66.32,-179.17,0.72,9.89
39,blind river,90,CA,1574189909,93,46.19,-82.96,42.8,5.82
40,bluff,2,AU,1574189764,82,-23.58,149.07,71.89,3.47
41,carnarvon,17,ZA,1574189909,18,-30.97,22.13,66.51,21.34
42,senekal,88,ZA,1574189909,49,-28.32,27.62,62.78,3.44
43,vaini,66,IN,1574189909,90,15.34,74.49,69.57,5.61
44,castro,90,CL,1574189909,100,-42.48,-73.76,55.4,21.92
45,norman wells,40,CA,1574189909,76,65.28,-126.83,-5.8,2.24
46,puerto ayora,20,EC,1574189910,51,-0.74,-90.35,80.6,23.04
47,meulaboh,91,ID,1574189910,84,4.14,96.13,79.18,6.76
48,oneonta,99,US,1574189910,84,42.45,-75.06,39.99,5.41
49,yellowknife,20,CA,1574189851,75,62.45,-114.38,-11.99,4.7
50,east london,21,ZA,1574189711,72,-33.02,27.91,62.6,11.41
51,hambantota,40,LK,1574189802,100,6.12,81.12,77.0,2.24
52,ushuaia,90,AR,1574189765,75,-54.81,-68.31,46.4,6.93
53,aklavik,90,CA,1574189911,77,68.22,-135.01,-2.2,3.36
54,jamestown,0,AU,1574189911,29,-33.21,138.6,71.33,10.67
55,adolfo lopez mateos,99,MX,1574189911,66,26.8,-109.39,82.99,5.99
56,puquio,99,PE,1574189911,54,-14.69,-74.12,51.06,2.48
57,malayal,40,PH,1574189912,94,7.21,121.94,77.0,2.24
